team,name,role,position,primary_position,eligible_positions,rating_source,sample_note
롯데 자이언츠,나승엽,batter,내야수,1B,1B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,노진혁,batter,내야수,SS,SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,박승욱,batter,내야수,SS,2B;SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,한태양,batter,내야수,2B,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,박찬형,batter,내야수,SS,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,황성빈,batter,외야수,LF,LF;CF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,김동혁,batter,외야수,CF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,전준우,batter,외야수,LF,LF;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025/커리어 중심타자 보정
롯데 자이언츠,윤동희,batter,외야수,CF,CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,김한홀,batter,외야수,CF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,김민,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,이건욱,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,조병현,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 2025 SV 30 기반 마무리 보정
SSG 랜더스,서진용,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,타케다,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,전영준,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,최민준,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,아빌라,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,노경은,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,김건우,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,김민준(40),pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,문승원,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,해치,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,박시후,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,이로운,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,조형우,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,이지영,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,정준재,batter,내야수,2B,2B;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025 도루 37 기반 보정
SSG 랜더스,전의산,batter,내야수,1B,1B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,김민준(5),batter,내야수,3B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,최윤석,batter,내야수,SS,2B;SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,홍대인,batter,내야수,1B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,마드리스,batter,외야수,1B,1B;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,채현우,batter,외야수,LF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,김재환,batter,외야수,LF,LF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,류효승,batter,외야수,1B,1B;LF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,최지훈,batter,외야수,CF,CF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,임근우,batter,외야수,LF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
SSG 랜더스,최준우,batter,외야수,2B,1B;2B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,정현우,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,박준현,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,김윤하,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,김재웅,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,최현우,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,박지성,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,안우진,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 2025/커리어 선발 구위 기반 보정
키움 히어로즈,정다훈,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,원종현,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,유토,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,김선기,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,하영민,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,김성민,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,박정훈,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,김건희,batter,포수,C,C;1B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,김동헌,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,권혁빈,batter,내야수,3B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,김웅빈,batter,내야수,1B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,서건창,batter,내야수,2B,2B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,히우라,batter,내야수,2B,1B;2B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,최재영,batter,내야수,SS,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,최주환,batter,내야수,1B,1B;2B;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025/커리어 장타형 내야수 보정
키움 히어로즈,안치홍,batter,내야수,2B,1B;2B;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025/커리어 내야수 보정
키움 히어로즈,여동욱,batter,내야수,SS,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,임병욱,batter,외야수,CF,CF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,추재현,batter,외야수,LF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,이형종,batter,외야수,RF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,박찬혁,batter,외야수,LF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
키움 히어로즈,박채울,batter,외야수,CF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
